,Dataset,Number of Keypoints,Detector/Descriptor
236,Gravel_Pit,64.03791469194313,AKAZE
237,Gravel_Pit,77.03791469194313,AKAZE
238,Gravel_Pit,110.56398104265404,AKAZE
239,Gravel_Pit,74.76303317535545,AKAZE
240,Gravel_Pit,58.27014218009479,AKAZE
241,Gravel_Pit,62.459715639810426,AKAZE
242,Gravel_Pit,70.32227488151659,AKAZE
243,Gravel_Pit,55.51184834123223,AKAZE
244,Gravel_Pit,37.654028436018955,AKAZE
245,Gravel_Pit,45.308056872037916,AKAZE
246,Gravel_Pit,43.62559241706161,AKAZE
247,Gravel_Pit,41.55924170616114,AKAZE
248,Gravel_Pit,35.208530805687204,AKAZE
249,Gravel_Pit,36.691943127962084,AKAZE
250,Gravel_Pit,52.834123222748815,AKAZE
251,Gravel_Pit,58.09004739336493,AKAZE
252,Gravel_Pit,54.88625592417062,AKAZE
253,Gravel_Pit,44.58767772511848,AKAZE
254,Gravel_Pit,40.92417061611374,AKAZE
255,Gravel_Pit,42.649289099526065,AKAZE
256,Gravel_Pit,39.96682464454976,AKAZE
257,Gravel_Pit,38.6303317535545,AKAZE
258,Gravel_Pit,35.67298578199052,AKAZE
259,Gravel_Pit,42.156398104265406,AKAZE
260,Gravel_Pit,57.97156398104266,AKAZE
261,Gravel_Pit,65.94312796208531,AKAZE
262,Gravel_Pit,84.0,AKAZE
263,Gravel_Pit,68.1611374407583,AKAZE
264,Gravel_Pit,56.99052132701422,AKAZE
265,Gravel_Pit,38.796208530805686,AKAZE
266,Gravel_Pit,29.080568720379148,AKAZE
267,Gravel_Pit,24.53080568720379,AKAZE
268,Gravel_Pit,31.791469194312796,AKAZE
269,Gravel_Pit,40.829383886255926,AKAZE
270,Gravel_Pit,48.25118483412322,AKAZE
271,Gravel_Pit,60.502369668246445,AKAZE
272,Gravel_Pit,64.92890995260663,AKAZE
273,Gravel_Pit,65.6824644549763,AKAZE
274,Gravel_Pit,67.65876777251185,AKAZE
275,Gravel_Pit,62.37440758293839,AKAZE
276,Gravel_Pit,49.5260663507109,AKAZE
277,Gravel_Pit,41.54502369668246,AKAZE
278,Gravel_Pit,37.464454976303315,AKAZE
279,Gravel_Pit,27.76303317535545,AKAZE
280,Gravel_Pit,35.355450236966824,AKAZE
281,Gravel_Pit,51.388625592417064,AKAZE
282,Gravel_Pit,50.791469194312796,AKAZE
283,Gravel_Pit,69.36018957345972,AKAZE
284,Gravel_Pit,71.21800947867298,AKAZE
285,Gravel_Pit,68.61137440758294,AKAZE
286,Gravel_Pit,58.60189573459716,AKAZE
287,Gravel_Pit,62.611374407582936,AKAZE
288,Gravel_Pit,47.682464454976305,AKAZE
289,Gravel_Pit,40.6303317535545,AKAZE
290,Gravel_Pit,43.63507109004739,AKAZE
291,Gravel_Pit,56.322274881516584,AKAZE
292,Gravel_Pit,57.92890995260664,AKAZE
293,Gravel_Pit,62.95260663507109,AKAZE
294,Gravel_Pit,65.11374407582939,AKAZE
295,Gravel_Pit,72.03791469194313,AKAZE
296,Gravel_Pit,76.04739336492891,AKAZE
297,Gravel_Pit,79.80094786729858,AKAZE
298,Gravel_Pit,74.49763033175356,AKAZE
299,Gravel_Pit,59.497630331753555,AKAZE
300,Gravel_Pit,53.18483412322275,AKAZE
301,Gravel_Pit,56.682464454976305,AKAZE
302,Gravel_Pit,63.725118483412324,AKAZE
303,Gravel_Pit,71.94312796208531,AKAZE
304,Gravel_Pit,68.76303317535545,AKAZE
305,Gravel_Pit,75.39336492890995,AKAZE
306,Gravel_Pit,63.388625592417064,AKAZE
307,Gravel_Pit,71.05687203791469,AKAZE
308,Gravel_Pit,69.22274881516587,AKAZE
309,Gravel_Pit,65.82464454976304,AKAZE
310,Gravel_Pit,65.02369668246446,AKAZE
311,Gravel_Pit,66.01895734597156,AKAZE
312,Gravel_Pit,68.1090047393365,AKAZE
313,Gravel_Pit,73.18957345971565,AKAZE
314,Gravel_Pit,77.7914691943128,AKAZE
315,Gravel_Pit,83.08530805687204,AKAZE
316,Gravel_Pit,74.16587677725119,AKAZE
317,Gravel_Pit,57.34123222748815,AKAZE
318,Gravel_Pit,55.208530805687204,AKAZE
319,Gravel_Pit,54.12322274881517,AKAZE
320,Gravel_Pit,63.52132701421801,AKAZE
321,Gravel_Pit,88.61611374407583,AKAZE
322,Gravel_Pit,111.43127962085308,AKAZE
323,Gravel_Pit,115.63981042654028,AKAZE
324,Gravel_Pit,135.18009478672985,AKAZE
325,Gravel_Pit,105.88151658767772,AKAZE
326,Gravel_Pit,62.71563981042654,AKAZE
327,Gravel_Pit,77.0,AKAZE
328,Gravel_Pit,62.45497630331754,AKAZE
329,Gravel_Pit,77.25118483412322,AKAZE
330,Gravel_Pit,80.66350710900474,AKAZE
331,Gravel_Pit,59.76303317535545,AKAZE
332,Gravel_Pit,54.78672985781991,AKAZE
333,Gravel_Pit,76.10426540284361,AKAZE
334,Gravel_Pit,82.4739336492891,AKAZE
335,Gravel_Pit,58.41706161137441,AKAZE
336,Gravel_Pit,78.45023696682465,AKAZE
337,Gravel_Pit,75.56398104265404,AKAZE
338,Gravel_Pit,62.86255924170616,AKAZE
339,Gravel_Pit,57.84834123222749,AKAZE
340,Gravel_Pit,69.36492890995261,AKAZE
341,Gravel_Pit,66.60189573459715,AKAZE
342,Gravel_Pit,65.97156398104265,AKAZE
343,Gravel_Pit,74.5260663507109,AKAZE
344,Gravel_Pit,107.31279620853081,AKAZE
345,Gravel_Pit,66.86729857819905,AKAZE
346,Gravel_Pit,46.81042654028436,AKAZE
347,Gravel_Pit,38.63507109004739,AKAZE
348,Gravel_Pit,45.90047393364929,AKAZE
349,Gravel_Pit,57.28909952606635,AKAZE
350,Gravel_Pit,81.02843601895735,AKAZE
351,Gravel_Pit,74.63507109004739,AKAZE
352,Gravel_Pit,57.61611374407583,AKAZE
353,Gravel_Pit,71.02843601895735,AKAZE
354,Gravel_Pit,66.39336492890995,AKAZE
355,Gravel_Pit,64.72037914691943,AKAZE
356,Gravel_Pit,56.63507109004739,AKAZE
357,Gravel_Pit,36.388625592417064,AKAZE
358,Gravel_Pit,36.535545023696685,AKAZE
359,Gravel_Pit,38.55450236966825,AKAZE
360,Gravel_Pit,47.018957345971565,AKAZE
361,Gravel_Pit,63.62559241706161,AKAZE
362,Gravel_Pit,85.29383886255924,AKAZE
